name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Inktech,89.0,5.0,47.0,2025-11-19 00:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 00:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 00:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 00:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 01:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 01:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 01:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 01:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 02:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 02:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 02:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 02:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 03:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 03:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 03:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 03:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 04:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 04:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 04:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 04:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 05:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 05:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 05:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 05:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 06:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 06:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 06:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 06:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 07:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 07:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 07:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 07:45:30+00:00,0.0005,0.00025,0.001,0.0005
Inktech,89.0,5.0,47.0,2025-11-19 08:00:30+00:00,0.0035,0.002,0.0055,0.0035
Inktech,89.0,5.0,47.0,2025-11-19 08:15:30+00:00,0.009,0.00525,0.01375,0.0075
Inktech,89.0,5.0,47.0,2025-11-19 08:30:30+00:00,0.01525,0.0085,0.0225,0.0125
Inktech,89.0,5.0,47.0,2025-11-19 08:45:30+00:00,0.02175,0.011,0.0305,0.01775
Inktech,89.0,5.0,47.0,2025-11-19 09:00:30+00:00,0.02325,0.0105,0.03375,0.02025
Inktech,89.0,5.0,47.0,2025-11-19 09:15:30+00:00,0.021,0.01,0.03625,0.0195
Inktech,89.0,5.0,47.0,2025-11-19 09:30:30+00:00,0.02675,0.00975,0.0465,0.025
Inktech,89.0,5.0,47.0,2025-11-19 09:45:30+00:00,0.037,0.00725,0.0545,0.034
Inktech,89.0,5.0,47.0,2025-11-19 10:00:30+00:00,0.02575,0.005,0.05375,0.0245
Inktech,89.0,5.0,47.0,2025-11-19 10:15:30+00:00,0.0145,0.0045,0.04825,0.01425
Inktech,89.0,5.0,47.0,2025-11-19 10:30:30+00:00,0.029,0.00575,0.05325,0.02825
Inktech,89.0,5.0,47.0,2025-11-19 10:45:30+00:00,0.03225,0.0065,0.0575,0.03175
Inktech,89.0,5.0,47.0,2025-11-19 11:00:30+00:00,0.03175,0.01,0.067,0.0315
Inktech,89.0,5.0,47.0,2025-11-19 11:15:30+00:00,0.052,0.02,0.074,0.051
Inktech,89.0,5.0,47.0,2025-11-19 11:30:30+00:00,0.05625,0.032,0.0765,0.05575
Inktech,89.0,5.0,47.0,2025-11-19 11:45:30+00:00,0.05475,0.037,0.074,0.05475
Inktech,89.0,5.0,47.0,2025-11-19 12:00:30+00:00,0.055,0.04125,0.0705,0.056
Inktech,89.0,5.0,47.0,2025-11-19 12:15:30+00:00,0.05725,0.0425,0.0715,0.05925
Inktech,89.0,5.0,47.0,2025-11-19 12:30:30+00:00,0.05825,0.044,0.0695,0.061
Inktech,89.0,5.0,47.0,2025-11-19 12:45:30+00:00,0.05675,0.04425,0.06575,0.06075
Inktech,89.0,5.0,47.0,2025-11-19 13:00:30+00:00,0.05275,0.0425,0.0615,0.05775
Inktech,89.0,5.0,47.0,2025-11-19 13:15:30+00:00,0.04775,0.039,0.05675,0.0535
Inktech,89.0,5.0,47.0,2025-11-19 13:30:30+00:00,0.04375,0.03475,0.0515,0.05
Inktech,89.0,5.0,47.0,2025-11-19 13:45:30+00:00,0.039,0.0305,0.0455,0.04625
Inktech,89.0,5.0,47.0,2025-11-19 14:00:30+00:00,0.03375,0.026,0.03925,0.0415
Inktech,89.0,5.0,47.0,2025-11-19 14:15:30+00:00,0.02825,0.021,0.03275,0.03625
Inktech,89.0,5.0,47.0,2025-11-19 14:30:30+00:00,0.02225,0.01625,0.02625,0.02975
Inktech,89.0,5.0,47.0,2025-11-19 14:45:30+00:00,0.0165,0.0115,0.01975,0.0235
Inktech,89.0,5.0,47.0,2025-11-19 15:00:30+00:00,0.01075,0.00725,0.01325,0.01725
Inktech,89.0,5.0,47.0,2025-11-19 15:15:30+00:00,0.00575,0.00375,0.0075,0.011
Inktech,89.0,5.0,47.0,2025-11-19 15:30:30+00:00,0.0045,0.003,0.00575,0.0055
Inktech,89.0,5.0,47.0,2025-11-19 15:45:30+00:00,0.00125,0.00075,0.0015,0.00125
Inktech,89.0,5.0,47.0,2025-11-19 16:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 16:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 16:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 16:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 17:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 17:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 17:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 17:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 18:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 18:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 18:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 18:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 19:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 19:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 19:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 19:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 20:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 20:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 20:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 20:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 21:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 21:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 21:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 21:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 22:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 22:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 22:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 22:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 23:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 23:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 23:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-19 23:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 00:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 00:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 00:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 00:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 01:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 01:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 01:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 01:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 02:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 02:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 02:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 02:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 03:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 03:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 03:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 03:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 04:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 04:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 04:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 04:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 05:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 05:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 05:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 05:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 06:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 06:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 06:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 06:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 07:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 07:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 07:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 07:45:30+00:00,0.00025,0.00025,0.0005,0.00025
Inktech,89.0,5.0,47.0,2025-11-20 08:00:30+00:00,0.003,0.001,0.00475,0.003
Inktech,89.0,5.0,47.0,2025-11-20 08:15:30+00:00,0.008,0.0045,0.01325,0.0065
Inktech,89.0,5.0,47.0,2025-11-20 08:30:30+00:00,0.02275,0.0105,0.02525,0.01625
Inktech,89.0,5.0,47.0,2025-11-20 08:45:30+00:00,0.03025,0.01825,0.0335,0.02275
Inktech,89.0,5.0,47.0,2025-11-20 09:00:30+00:00,0.03525,0.024,0.0405,0.02775
Inktech,89.0,5.0,47.0,2025-11-20 09:15:30+00:00,0.04025,0.0295,0.04725,0.033
Inktech,89.0,5.0,47.0,2025-11-20 09:30:30+00:00,0.0445,0.03375,0.05325,0.0375
Inktech,89.0,5.0,47.0,2025-11-20 09:45:30+00:00,0.0485,0.03775,0.0585,0.04225
Inktech,89.0,5.0,47.0,2025-11-20 10:00:30+00:00,0.05225,0.0415,0.063,0.0465
Inktech,89.0,5.0,47.0,2025-11-20 10:15:30+00:00,0.056,0.04475,0.0665,0.05075
Inktech,89.0,5.0,47.0,2025-11-20 10:30:30+00:00,0.0585,0.04775,0.06925,0.054
Inktech,89.0,5.0,47.0,2025-11-20 10:45:30+00:00,0.061,0.05,0.0715,0.05725
Inktech,89.0,5.0,47.0,2025-11-20 11:00:30+00:00,0.0625,0.05175,0.073,0.05975
Inktech,89.0,5.0,47.0,2025-11-20 11:15:30+00:00,0.0635,0.053,0.074,0.0615
Inktech,89.0,5.0,47.0,2025-11-20 11:30:30+00:00,0.06425,0.05325,0.074,0.06325
Inktech,89.0,5.0,47.0,2025-11-20 11:45:30+00:00,0.063,0.05275,0.07325,0.06325
Inktech,89.0,5.0,47.0,2025-11-20 12:00:30+00:00,0.06175,0.0515,0.0715,0.06275
Inktech,89.0,5.0,47.0,2025-11-20 12:15:30+00:00,0.0595,0.0495,0.06925,0.0615
Inktech,89.0,5.0,47.0,2025-11-20 12:30:30+00:00,0.057,0.04725,0.06675,0.06
Inktech,89.0,5.0,47.0,2025-11-20 12:45:30+00:00,0.05475,0.04475,0.06425,0.0585
Inktech,89.0,5.0,47.0,2025-11-20 13:00:30+00:00,0.05175,0.042,0.06,0.05675
Inktech,89.0,5.0,47.0,2025-11-20 13:15:30+00:00,0.048,0.03875,0.05525,0.05375
Inktech,89.0,5.0,47.0,2025-11-20 13:30:30+00:00,0.0435,0.03475,0.05,0.05
Inktech,89.0,5.0,47.0,2025-11-20 13:45:30+00:00,0.03875,0.0305,0.044,0.046
Inktech,89.0,5.0,47.0,2025-11-20 14:00:30+00:00,0.0335,0.026,0.038,0.041
Inktech,89.0,5.0,47.0,2025-11-20 14:15:30+00:00,0.02775,0.021,0.0315,0.0355
Inktech,89.0,5.0,47.0,2025-11-20 14:30:30+00:00,0.022,0.01625,0.02525,0.02975
Inktech,89.0,5.0,47.0,2025-11-20 14:45:30+00:00,0.01625,0.01175,0.0185,0.02375
Inktech,89.0,5.0,47.0,2025-11-20 15:00:30+00:00,0.0105,0.00725,0.012,0.0175
Inktech,89.0,5.0,47.0,2025-11-20 15:15:30+00:00,0.0055,0.00375,0.0065,0.011
Inktech,89.0,5.0,47.0,2025-11-20 15:30:30+00:00,0.00425,0.003,0.00525,0.00525
Inktech,89.0,5.0,47.0,2025-11-20 15:45:30+00:00,0.001,0.00075,0.00125,0.001
Inktech,89.0,5.0,47.0,2025-11-20 16:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 16:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 16:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 16:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 17:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 17:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 17:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 17:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 18:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 18:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 18:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 18:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 19:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 19:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 19:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 19:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 20:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 20:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 20:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 20:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 21:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 21:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 21:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 21:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 22:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 22:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 22:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 22:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 23:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 23:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 23:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-20 23:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 00:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 00:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 00:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 00:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 01:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 01:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 01:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 01:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 02:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 02:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 02:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 02:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 03:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 03:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 03:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 03:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 04:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 04:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 04:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 04:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 05:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 05:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 05:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 05:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 06:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 06:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 06:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 06:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 07:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 07:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 07:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 07:45:30+00:00,0.00025,0.0,0.00025,0.00025
Inktech,89.0,5.0,47.0,2025-11-21 08:00:30+00:00,0.0035,0.0025,0.004,0.0035
Inktech,89.0,5.0,47.0,2025-11-21 08:15:30+00:00,0.013,0.009,0.0155,0.0085
Inktech,89.0,5.0,47.0,2025-11-21 08:30:30+00:00,0.02125,0.01475,0.02475,0.01475
Inktech,89.0,5.0,47.0,2025-11-21 08:45:30+00:00,0.0285,0.02025,0.0325,0.02125
Inktech,89.0,5.0,47.0,2025-11-21 09:00:30+00:00,0.0345,0.02475,0.0395,0.027
Inktech,89.0,5.0,47.0,2025-11-21 09:15:30+00:00,0.039,0.02825,0.046,0.03175
Inktech,89.0,5.0,47.0,2025-11-21 09:30:30+00:00,0.0435,0.031,0.05175,0.0365
Inktech,89.0,5.0,47.0,2025-11-21 09:45:30+00:00,0.0455,0.03325,0.05675,0.0395
Inktech,89.0,5.0,47.0,2025-11-21 10:00:30+00:00,0.04725,0.0355,0.05975,0.042
Inktech,89.0,5.0,47.0,2025-11-21 10:15:30+00:00,0.05,0.03875,0.06375,0.0455
Inktech,89.0,5.0,47.0,2025-11-21 10:30:30+00:00,0.0565,0.0425,0.06825,0.05225
Inktech,89.0,5.0,47.0,2025-11-21 10:45:30+00:00,0.05975,0.047,0.07075,0.05625
Inktech,89.0,5.0,47.0,2025-11-21 11:00:30+00:00,0.0625,0.05,0.0725,0.05975
Inktech,89.0,5.0,47.0,2025-11-21 11:15:30+00:00,0.06275,0.05225,0.07325,0.06075
Inktech,89.0,5.0,47.0,2025-11-21 11:30:30+00:00,0.0635,0.05225,0.07325,0.0625
Inktech,89.0,5.0,47.0,2025-11-21 11:45:30+00:00,0.06225,0.05125,0.07225,0.06225
Inktech,89.0,5.0,47.0,2025-11-21 12:00:30+00:00,0.05975,0.05025,0.07075,0.06075
Inktech,89.0,5.0,47.0,2025-11-21 12:15:30+00:00,0.0595,0.04775,0.06925,0.0615
Inktech,89.0,5.0,47.0,2025-11-21 12:30:30+00:00,0.05625,0.045,0.06625,0.05925
Inktech,89.0,5.0,47.0,2025-11-21 12:45:30+00:00,0.052,0.0395,0.06275,0.05575
Inktech,89.0,5.0,47.0,2025-11-21 13:00:30+00:00,0.04625,0.0355,0.05925,0.05025
Inktech,89.0,5.0,47.0,2025-11-21 13:15:30+00:00,0.044,0.033,0.0545,0.049
Inktech,89.0,5.0,47.0,2025-11-21 13:30:30+00:00,0.04475,0.031,0.049,0.0515
Inktech,89.0,5.0,47.0,2025-11-21 13:45:30+00:00,0.03925,0.02625,0.0435,0.04625
Inktech,89.0,5.0,47.0,2025-11-21 14:00:30+00:00,0.0305,0.0195,0.03775,0.03675
Inktech,89.0,5.0,47.0,2025-11-21 14:15:30+00:00,0.02425,0.0135,0.032,0.02975
Inktech,89.0,5.0,47.0,2025-11-21 14:30:30+00:00,0.01775,0.01075,0.02675,0.02175
Inktech,89.0,5.0,47.0,2025-11-21 14:45:30+00:00,0.015,0.0085,0.02025,0.0195
Inktech,89.0,5.0,47.0,2025-11-21 15:00:30+00:00,0.0105,0.006,0.01275,0.016
Inktech,89.0,5.0,47.0,2025-11-21 15:15:30+00:00,0.005,0.003,0.006,0.01025
Inktech,89.0,5.0,47.0,2025-11-21 15:30:30+00:00,0.004,0.00275,0.00475,0.00475
Inktech,89.0,5.0,47.0,2025-11-21 15:45:30+00:00,0.002,0.00125,0.00225,0.002
Inktech,89.0,5.0,47.0,2025-11-21 16:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 16:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 16:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 16:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 17:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 17:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 17:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 17:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 18:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 18:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 18:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 18:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 19:00:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 19:15:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 19:30:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 19:45:30+00:00,0.0,0.0,0.0,0.0
Inktech,89.0,5.0,47.0,2025-11-21 20:00:30+00:00,0.0,0.0,0.0,0.0
