name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Merry Hill,180.0,10.0,92.25,2025-09-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 05:15:30+00:00,0.0,0.0,0.0,0.0
Merry Hill,180.0,10.0,92.25,2025-09-01 05:30:30+00:00,0.00275,0.00175,0.00375,0.00275
