name,azimuth,slope,array_capacity,time,gti,gti_low,gti_high,ghi
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 00:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 00:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 00:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 00:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 01:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 01:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 01:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 01:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 02:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 02:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 02:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 02:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 03:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 03:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 03:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 03:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 04:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 04:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 04:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 04:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 05:00:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 05:15:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 05:30:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 05:45:30+00:00,0.0,0.0,0.0,0.0
Oasis - Wintringham,89.0,10.0,30.24,2025-03-01 06:00:30+00:00,0.0,0.0,0.0,0.0
